Restaurant_name,Location,Average_rating,delivery_vs_dine_in_preference,Popular_cuisines,Open_day,Closed_day,Honest_review,overall_review,Links,operational_hours
"xero courtyard","janpath, new delhi",4,"{'delivery_rating': 4.0, 'dine_in_rating': 4.0, 'preference': 'Equal'}","beautiful place, weekend brunch, good music, good wifi, elaborate menu, student crowd",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/xero-courtyard-janpath-new-delhi,12
"out of the box courtyard","middle circle, connaught place, new delhi",4,"{'delivery_rating': 4.0, 'dine_in_rating': 4.1, 'preference': 'Dine-in'}","fish fingers, sangria, cocktail, virgin mojito, dimsums, brownie",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/out-of-the-box-courtyard-1-connaught-place-new-delhi,13
"the darzi bar & kitchen","middle circle, connaught place, new delhi",3.6,"{'delivery_rating': 3.0999999046325684, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","classic cosmopolitan, batata vada, amritsari machi, desi chicken curry, blueberry mocktail, chatpate aloo",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/TheDarziBar,13
"mount fuji japanese pan asian restaurant & bar","middle circle, connaught place, new delhi",4.5,"{'delivery_rating': 4.300000190734863, 'dine_in_rating': 4.7, 'preference': 'Dine-in'}","elaborate menu, good wifi, good ambience, good music, amazing food, fresh food",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/mount-fuji-japanese-pan-asian-restaurant-bar-connaught-place-new-delhi,10
"cedar club house","janpath, new delhi",2.2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","1,800 for two people (approx.) without alcohol",Mon,Sun,"{'overall_sentiment': 'Neutral', 'positive_reviews_count': 2, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Neutral,https://www.zomato.com/ncr/cedar-club-house-janpath-new-delhi,13
"farzi cafe","inner circle, connaught place, new delhi",3.9,"{'delivery_rating': 3.5, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","karela calamari, dal chawal aranchini, milky way, chicken tikka curry, butter chicken bao, prawn ghee roast",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/farzi-cafe-connaught-place-new-delhi,12
"the gt road","connaught place, new delhi",4.2,"{'delivery_rating': 4.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","vegetable kofta curry, tamatar ka shorba, gur ice cream, punjabi rajma, pinni, murgh makhanwala",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/the-gt-road-connaught-place-new-delhi,15
"gola sizzlers - naresh gola group","connaught place, new delhi",3.7,"{'delivery_rating': 3.799999952316284, 'dine_in_rating': 3.7, 'preference': 'Delivery'}","sizzling vegetables, cheese cutlet sizzler, veg manchurian sizzler, mushroom kabab, mushroom sizzler, sizzler brownie",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/gola-sizzlers-naresh-gola-group-connaught-place-new-delhi,11
"cafe hawkers","connaught place, new delhi",4.1,"{'delivery_rating': 4.0, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","caramel cookie shake, kiwi delight, peanut salad, stuffed paneer tikka, strawberry cheesecake, lamb patty",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 4, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/CafeHawkers,11
belisario,"shangri-la eros, new delhi",2.2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","3,000 for two people (approx.) with alcohol",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/belisario-3-connaught-place-new-delhi,9
"yellow brick road - ambassador","taj ambassador, khan market, new delhi",2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.1, 'preference': 'Dine-in'}","ybr chicken, railway cutlets, banana split, club sandwich, thai green curry, hot coffee",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/yellow-brick-road-ambassador-khan-market-new-delhi,24
"the arthouse restaurant","connaught place, new delhi",3.7,"{'delivery_rating': 3.5999999046325684, 'dine_in_rating': 3.9, 'preference': 'Dine-in'}","fettuccine pasta, red wine sangria, peri peri pizza, smoothies, coffees, khichdi",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/the-arthouse-restaurant-connaught-place-new-delhi,24
"cé la vie kitchen & bar","middle circle, connaught place, new delhi",2.1,"{'delivery_rating': 0.0, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","great food, value for money, food quality, packaging",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/c%C3%A9-la-vie-kitchen-bar-connaught-place-new-delhi,13
"yeti - the himalayan kitchen","the colonnade, connaught place, new delhi",4.2,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","wai wai bhel, ema datchi, spicy broth, thukpa noodles, tingmo, thali options",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/yeti-the-himalayan-kitchen-connaught-place-new-delhi,11
veda,"connaught place, new delhi",3.6,"{'delivery_rating': 3.5, 'dine_in_rating': 3.7, 'preference': 'Dine-in'}","cinnamon mojito, crispy bhindi, paneer kundan, gujarati thali, chicken shahi korma, dum aloo",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/veda-connaught-place-new-delhi,12
"plum coffee and cocktails","connaught place, new delhi",2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.1, 'preference': 'Dine-in'}","2,000 for two people (approx.) without alcohol",Mon,Mon,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/plum-coffee-and-cocktails-connaught-place-new-delhi,14
"capital diner","connaught place, new delhi",4.1,"{'delivery_rating': 4.0, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","600 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/capital-diner-connaught-place-new-delhi,10
"connaught club house","janpath, new delhi",4.2,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","craft beer, brewed beer, changezi chicken, veg dimsums, tiramisu, chicken tikka pizza",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/connaught-club-house-janpath-new-delhi,13
"the immigrant cafe","middle circle, connaught place, new delhi",3.9,"{'delivery_rating': 3.799999952316284, 'dine_in_rating': 4.1, 'preference': 'Dine-in'}","veg gourmet pizza, liit cocktail, meat platter, masala chai, tandoori platter, nachos",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/the-immigrant-cafe-1-connaught-place-new-delhi,12
"ministry of beer","connaught place, new delhi",2.2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","hefeweizen, paneer khatta pyaz, lamb pasta, potato fritters, fruit punch mocktail, gosht rogan josh",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/ministry-of-beer-connaught-place-new-delhi,13
anglow,"khan market, new delhi",3.9,"{'delivery_rating': 3.5999999046325684, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","mutton railway curry, bread pudding, lamb curry, wasabi prawns, shami kebabs, chocolate pudding",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/anglow-khan-market-new-delhi,13
"somewhere restaurant & bar","middle circle, connaught place, new delhi",4.2,"{'delivery_rating': 4.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","sushi, cocktail, dessert, drinks",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/somewhere-restaurant-bar-connaught-place-new-delhi,13
"civil lines social","civil lines, new delhi",4.3,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}","amazing service, vibe, server, nice service, hospitality, good ambience",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/civil-lines-social-civil-lines-new-delhi,15
chido,"connaught place, new delhi",2.2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","shisha, mutton seekh kebab, tandoori platter, cocktails, dimsums, drinks",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/chido-connaught-place-new-delhi,13
"green mantis - authentic pan asian","khan market, new delhi",4.4,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.6, 'preference': 'Dine-in'}","sushi, pan fried noodles, dimsums, dessert, drinks",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/green-mantis-authentic-pan-asian-khan-market-new-delhi,10
"fifty9 - radisson blu marina","radisson blu marina hotel, connaught place, new delhi",4.1,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.0, 'preference': 'Delivery'}","healthy breakfast, starters, desserts, tikka, coffee, drinks",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/fifty9-radisson-blu-marina-connaught-place-new-delhi,24
"openhouse cafe","connaught place, new delhi",2.1,"{'delivery_rating': 0.0, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","chipotle pasta, fresh garden pizza, signature pizza, roasted chicken pizza, murgh malai, choco chip shake",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/openhouse-cafe-connaught-place-new-delhi,13
"wyld courtyard","parliament street, new delhi",1.7,"{'delivery_rating': 0.0, 'dine_in_rating': 3.4, 'preference': 'Dine-in'}","2,000 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/wyld-courtyard-parliament-street-new-delhi,14
"dhaba - estd 1986 delhi","middle circle, connaught place, new delhi",4.2,"{'delivery_rating': 3.9000000953674316, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}","katori chaat, paneer makhan masala, balti meat, pudina paratha, achari soya chaap, phirni",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/dhaba-estd-1986-delhi-connaught-place-new-delhi,11
"pind balluchi","connaught place, new delhi",3.9,"{'delivery_rating': 4.099999904632568, 'dine_in_rating': 3.8, 'preference': 'Delivery'}","paneer fingers, murgh rara, dhaba mutton, thandi kheer, pindi choley, mushroom kurkure",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/pind-balluchi-connaught-place-new-delhi,11
"mister chai - shangri-la eros new delhi","shangri-la eros, new delhi",2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}","aloo samosa, masala tea, hot coffee, chai, cookies, snacks",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/mister-chai-shangri-la-eros-new-delhi-connaught-place-new-delhi,24
"miamo diner","khan market, new delhi",3.8,"{'delivery_rating': 4.0, 'dine_in_rating': 3.5, 'preference': 'Delivery'}","1,500 for two people (approx.) without alcohol",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/miamo-diner-khan-market-new-delhi,11
"38 barracks","connaught place, new delhi",4.3,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}","gosht galauti, khatte baingan, cookie monster shake, apple crumble pie, apple cooler, chakna platter",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/38-barracks-connaught-place-new-delhi,15
"warehouse cafe","connaught place, new delhi",4.1,"{'delivery_rating': 4.0, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","phuket paneer, mozzarella fingers, signature pizza, mozzarella cheese sticks, mushroom kurkure, shisha",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/warehouse-cafe-connaught-place-new-delhi,13
"chili's grill & bar","connaught place, new delhi",4.3,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.5, 'preference': 'Dine-in'}","fajita chicken quesadilla, molten chocolate chunk, veg triple dipper, quesadillas bites, chipotle bowl, cajun pasta",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/chilis-grill-bar-connaught-place-new-delhi,12
"unplugged courtyard","middle circle, connaught place, new delhi",4,"{'delivery_rating': 4.0, 'dine_in_rating': 4.1, 'preference': 'Dine-in'}","ganna chicken, chimichanga roll, chicken tikka korma, soya malai, falafel platter, red wine sangria",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/unplugged-courtyard-connaught-place-new-delhi,13
"hard rock cafe","connaught place, new delhi",4.1,"{'delivery_rating': 4.0, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","rock music, band, host, live music, vibe, good music",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/hard-rock-cafe-connaught-place-new-delhi,12
"24/7 bar- the lalit new delhi","the lalit new delhi, barakhamba road, new delhi",2.2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","fantastic place, bar, nice ambience, music, staff, service",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 5, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/24-7BarNewDelhi,24
"lord of the drinks","outer circle, connaught place, new delhi",2.2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","arbi tuk, ginger punch, bhatti paneer, butter chicken sandwich, honey chilli fries, classic martini",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 2, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/lord-of-the-drinks-connaught-place-new-delhi,13
"white oak restaurant","paharganj, new delhi",4.1,"{'delivery_rating': 3.9000000953674316, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","delicious food, portion size, ambience, food quality, value for money, service",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/white-oak-restaurant-paharganj-new-delhi,24
"sly granny","khan market, new delhi",4.3,"{'delivery_rating': 4.300000190734863, 'dine_in_rating': 4.3, 'preference': 'Delivery'}","biscuits and gravy, barley salad, tamarind chicken, lamb bolognaise, apple crumble, eggs benedict",Mon,Thu,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/sly-granny-khan-market-new-delhi,11
padmanabham,"rajendra place, new delhi",4.2,"{'delivery_rating': 4.099999904632568, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","nice service, weekend brunch, family crowd, elaborate menu, hospitality, good wifi",Mon,Fri,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/padmanabham-rajendra-place-new-delhi,10
