,restaurant_name,dine_rating,delivery_rating_f,location,average_pricing,popular_cuisine,open_time,closed_time_f,operational_hours,operational_days,open_days_f,last_open_day,reviews,url,sentiment_analysis,overall_review,delivery_vs_dine_in_preference,average_rating
0,Xero Courtyard,4.0,4.0,"Janpath, New Delhi",1800,"Beautiful Place, Weekend Brunch, Good Music, Good Wifi, Elaborate Menu, Student Crowd",12noon,12midnight,12.0,7,Mon,Sun,"['M D SARFUDDIN', 'Had the best time with amazing music, and soulful food. Amazing service by Lalit ji.', 'Lalit served us today and it was great. He was really patient with us and overall great service', 'Nice outlet', 'Food was good, great service by priyanka']",https://www.zomato.com/ncr/xero-courtyard-janpath-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 4.0, 'dine_in_rating': 4.0, 'preference': 'Equal'}",4.0
1,Out Of The Box Courtyard,4.1,4.0,"Middle Circle, Connaught Place, New Delhi",2200,"Fish Fingers, Sangria, Cocktail, Virgin Mojito, Dimsums, Brownie",12noon,1am,13.0,7,Mon,Sun,"['Very bad tats of food . Please don’t visit . Not apt for the price range', 'The drinks menu price is on higher side at restaurant then what it was shown on Zomato', 'The food was bad, water was dripping inside the bar as well, a fly went into my drink so i asked the waiter to replace my drink as it was untouched, he got me the same drink same glass, like just removed the fly n kept arguing that its fresh drink', 'I went to OTB for spending some good time. The ambience was amazing and beautiful. They also had sitting area outside. I ordered butter chicken pizza which was mouth watering. The quality of chicken was so good. Then I had chilli garlic mushroom which was outstanding. The chilli garlic sauce was so good. Also there drinks are very nicely presented. I had fruit punch and Orange Lemonade', 'Recently visited this outlet and tried chilli garlic noodle and white sauce penne pasta . Both were amazing.']",https://www.zomato.com/ncr/out-of-the-box-courtyard-1-connaught-place-new-delhi,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,"{'delivery_rating': 4.0, 'dine_in_rating': 4.1, 'preference': 'Dine-in'}",4.05
2,The Darzi Bar & Kitchen,4.2,3.1,"Middle Circle, Connaught Place, New Delhi",2800,"Classic Cosmopolitan, Batata Vada, Amritsari Machi, Desi Chicken Curry, Blueberry Mocktail, Chatpate Aloo",12noon,1am,13.0,7,Mon,Sun,"['Amazing food', 'service charge is mandatory', 'Very poor service & food is also no good\nAmbience is also not good', 'Raj thank you. You are a wonderful person thank you for your services.', 'great place']",https://www.zomato.com/TheDarziBar,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 3.0999999046325684, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}",3.6499999523162843
3,Mount Fuji Japanese Pan Asian Restaurant & Bar,4.7,4.3,"Middle Circle, Connaught Place, New Delhi",2400,"Elaborate Menu, Good Wifi, Good Ambience, Good Music, Amazing Food, Fresh Food",11am,10,10.0,7,Mon,Sun,"['We ordered chicken karaage and hakka noodles. The food was average. The staff was discourteous. We requested one of the lady servers to have someone clean up our table, but nobody showed up. I guess they have better things to do than ensure that the restaurant is sanitary.', 'The ramen and sushi ordered was good but the staff seemed untrained and out of sorts. The condition of menu, washrooms and even billing system was below average.', 'Very good food and very nice staff.']",https://www.zomato.com/ncr/mount-fuji-japanese-pan-asian-restaurant-bar-connaught-place-new-delhi,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Negative,"{'delivery_rating': 4.300000190734863, 'dine_in_rating': 4.7, 'preference': 'Dine-in'}",4.500000095367431
4,Cedar Club House,4.3,0.0,"Janpath, New Delhi",1800,"₹1,800 for two people (approx.) Without alcohol",12noon,1am,13.0,7,Mon,Sun,"['This place is run by extremely unprepared unprofessional managers . They are totally not equipped to manage booking , can dump you last minute in a jiffy !! Don’t rely on their bookings or their words', 'Service should be improved', 'Pathetic service.. We waited on the table for about 20 mins Noone came to attend us.', 'Yarmi is nice person always suggest good and new tasty dishes kudos to him']",https://www.zomato.com/ncr/cedar-club-house-janpath-new-delhi,"{'overall_sentiment': 'Neutral', 'positive_reviews_count': 2, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Neutral,"{'delivery_rating': 0.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}",2.15
5,Farzi Cafe,4.3,3.5,"Inner Circle, Connaught Place, New Delhi",2600,"Karela Calamari, Dal Chawal Aranchini, Milky Way, Chicken Tikka Curry, Butter Chicken Bao, Prawn Ghee Roast",12noon,12,12.0,7,Mon,Sun,"['Raj is really a good skilled person i really appreciate it', 'Raj was wonderful', 'raj was very helpful!!!', 'Raj . perfect food and ambience', 'Raj-\ngood service']",https://www.zomato.com/ncr/farzi-cafe-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 3.5, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}",3.9
6,The GT Road,4.3,4.0,"Connaught Place, New Delhi",2400,"Vegetable Kofta Curry, Tamatar Ka Shorba, Gur Ice Cream, Punjabi Rajma, Pinni, Murgh Makhanwala",12noon,3,15.0,7,Mon,Sun,"['food is good, service for snacks is very slow', 'food are worst never come again also price are high', 'Food is average', 'So so', 'From ambience to food to service, everything was perfect. Worth going']",https://www.zomato.com/ncr/the-gt-road-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 4.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}",4.15
7,Gola Sizzlers - Naresh Gola Group,3.7,3.8,"Connaught Place, New Delhi",2000,"Sizzling Vegetables, Cheese Cutlet Sizzler, Veg Manchurian Sizzler, Mushroom Kabab, Mushroom Sizzler, Sizzler Brownie",12noon,11,11.0,7,Mon,Sun,"[We had visited this outlet and ordered veg and non-veg starter but we got non-veg starter after 15 min and Veg they told will be served and after 80 min they are telling they can't serve that dish. They again took 20 min dor serving replacement veg dish.""""""",https://www.zomato.com/ncr/gola-sizzlers-naresh-gola-group-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 3.799999952316284, 'dine_in_rating': 3.7, 'preference': 'Delivery'}",3.749999976158142
8,Cafe Hawkers,4.2,4.0,"Connaught Place, New Delhi",1600,"Caramel Cookie Shake, Kiwi Delight, Peanut Salad, Stuffed Paneer Tikka, Strawberry Cheesecake, Lamb Patty",12noon,11,11.0,7,Mon,Sun,"['Neeraj is good with behaviour', 'All services are brilliant. Neeraj Singh is a brilliant personality and amazing experience with him.', 'I’m from Mumbai and cafe Hawkers is a staple, whenever I’m in delhi. Friendly staff, good food and fun ambience. Rinku and Jalal are very helpful.', 'Wonderful !!! Very nice service they made me happy with their smiles.\nDelicious food specially the Veg Lasagna.', 'You guys made my day today... Excellent food , nice ambience and friendllly stafff...\nWill visit soon... Thanks😊😊']",https://www.zomato.com/CafeHawkers,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 4, 'neutral_reviews_count': 0}",Negative,"{'delivery_rating': 4.0, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}",4.1
9,Belisario,4.3,0.0,"Shangri-La Eros, New Delhi",3000,"₹3,000 for two people (approx.) with alcohol",7pm,4am,9.0,7,Mon,Sun,"['Great service and great ambience\nAnd got good service by the employee here Manoj Negi 💯', 'I had a top notch experience at this place. The ambience was great, service was commendable too. Loved how lovely the washroom was! For food, I really enjoyed having their asparagus tempura sushi, and cheese chilli mushroom dimsums. Also their G&T cocktails are definitely not be missed.', 'Food really needs to be improved !', 'I had a delightful dining experience at Belisario last night and I must say it exceeded my expectations in every way. The ambience of the restaurant was simply amazing, a chill vibe that added to the overall enjoyable atmosphere. The appetisers were delicious and the sushi was exceptionally good.\n\nDespite not having a sweet tooth, I found myself unable to resist the temptation of the brownie, as it was simply irresistible. I highly recommend trying it! I will recommend it to anyone looking for a combination of great food and a good vibe to visit this place at least once.\n\nMoreover, the staff at Belisario were incredibly helpful and helped us in selecting the perfect dishes to suit our...read more', 'Our servers Anshu was very kind . Enjoyed the food and cocktails were equally good and refreshing.']",https://www.zomato.com/ncr/belisario-3-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 0.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}",2.15
